Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g)
Roasted Peanuts DABELI,Jabsons Roasted Peanuts, 30 grams,192,6,16,6
the Most Accurate One!,Generic Dabeli, 1 cup,100,1,1,50
ready to mix dabeli masala,shreeji masala, 100 gram,348,75,4,3
Dabeli (Peanut) 7/26/2017,Epic (Farmers Market), 1 Serving,418,69,12,11
Sheermal,Lahori Sheermal, 220 gms,683,88,32,11
Sheermal,Homemade, 1 Pc,240,34,16,5
sheermal,nimco, 1 piece,930,134,37,15
Sheermal,Crescent, 1 sheermal,683,88,32,0
Sheermal ,Pride, 1 Piece,715,92,33,11
Sheermal,Minar, 1 piece (200g),930,134,37,15
Frozen Sheermal,Mezban, 1 piece,927,134,37,15
Breakfast,Sheermal, 1 cooked,12,5,5,8
Sheermal (Frozen),Taza, 110 gm,359,46,17,6
sheermal,bunnys, 100 gram,323,49,11,7
Sheermal,Aliyans, 1 pc,927,134,37,15
Sheermal,Lahori, 1 Unit,715,92,33,11
Sheermal,Mughal Bakery, 0.25 piece,80,22,2,4
Sheermal,Mon Salwa, 1 Piece,650,84,30,10
Sheermal,Halal Choice, 0.25 piece,214,31,9,3
Sheermal,Al Safa, 1 piece,326,42,15,5
Sheermal,Bake Parlour, 1 piece,718,92,33,11
Sheermal,Asia Bakery, 101 g,410,60,15,7
sheermal fresh frozen bread ,soghat, 1 p,715,92,33,11
Sheermal (frozen bread),Taza (eat authentic), 200 gram,359,46,17,6
Paratha,Paratha, 1 piece,280,35,14,5
Varki,La Fornaia, 30 gram,134,20,4,3
Paratha,Homestyle Paratha, 65 g,225,24,11,2
Paratha,Malasian Paratha, 80 g,265,35,12,5
Paratha Saag,Paratha Saag, 100 gms,228,33,8,5
Aalo Paratha,Paratha Aalo, 1 Cookeed,214,37,6,5
R-paratha,R-paratha, 1 piece,280,35,14,5
paratha,methi paratha, 1 roti,350,51,12,9
Plain Paratha,Maharaja Paratha Bread, 1 piece,260,39,9,5
Gobhi Paratha / Gobi Paratha,Haldiram's, 1 Paratha (100gm),200,22,8,6
Palak Paratha,Homemade Palak Paratha, 57 g,196,32,5,5
Paratha Roll Kababa,Paratha Roll, 1 roll,290,34,14,6
Spinach Paratha,Deep - Palak Paratha, 1 piece,134,26,2,4
Paratha,Deep, 1 paratha,230,37,8,2
Paratha,Kawan, 1 piece,280,35,14,5
Plain Paratha,Kawan Plain Paratha, 1 piece (80g),260,37,10,5
Paratha,Homemade, 117 g,247,44,5,6
Roti,Paratha, 0.5 Roti,193,29,7,3
Paratha,Oil, 1 paratha (65g),230,28,11,4
Original Paratha/paratha Originale,Shana, 1 piece,330,39,17,6
Chicken Kolhapuri,Generic, 1 cup,652,12,46,46
kolhapuri gor,kolhapuri, 10 gram,38,9,0,0
Chicken Kolhapuri,Waitrose, 350 gram,434,17,21,42
Kolhapuri Chicken Curry,Homemade, 269 gms,296,42,8,16
Veg Kolhapuri,Generic, 0.5 tray,224,11,17,4
Vegetable Kolhapuri,Homemade, 1 Plate (224 gms),300,43,20,7
jaggeri,kolhapuri, 1 oz,111,28,0,0
Vegetable Kolhapuri,A'viands, 8 Oz,133,25,3,4
C46 Chicken Kolhapuri,Homemade Jkp, 1 serving,525,11,37,34
Vegatable Kolhapuri,Canteen, 100 grams,133,19,9,4
Kolhapuri Mamra,Delight, 100 Grams,355,70,1,4
Mamra kolhapuri,Patidar, 28 g,100,22,0,2
Lamb Curry Kolhapuri,KYF, 288 g,430,13,28,32
Kolhapuri badang,Torgal's, 300 gram,384,51,14,7
Kolhapuri  Jaggery,KVL, 25 grams,50,14,0,0
KOLHAPURI BHADANG,CHAKOTE, 25 gm,623,72,32,12
Kolhapuri Jaggery,Vayas, 10 gram,30,8,0,6
Kolhapuri Bhadand,Postcard, 100 gram,539,51,32,11
Jaggery,Kolhapuri Jaggery, 1 ounce,112,28,0,0
Kolhapuri Murmura,Veer, 100 g,54,12,0,1
mutton kolhapuri mix,Suhana, 100 gram,106,10,6,3
Mutton Kolhapuri Masala Mix,Kitchens of India, 100 gram,420,33,29,7
kolhapuri gor,kolhapuri, 10 gram,38,9,0,0
Mutton,Mutton, 100 grams,294,0,21,25
Veg Kolhapuri,Generic, 0.5 tray,224,11,17,4
Chicken Kolhapuri,Generic, 1 cup,652,12,46,46
Fried Mutton,Fried Mutton, 100 g,235,0,14,26
Vegetable Kolhapuri,Homemade, 1 Plate (224 gms),300,43,20,7
Biryani-mutton,Biryani-mutton, 439.3 G,640,80,23,10
Mutton Soup,Mutton Soup, 1 cup,382,30,17,27
jaggeri,kolhapuri, 1 oz,111,28,0,0
Vegetable Kolhapuri,A'viands, 8 Oz,133,25,3,4
tin mutton ,corned mutton, 100 g,180,0,13,16
Vegatable Kolhapuri,Canteen, 100 grams,133,19,9,4
Mutton Curry,Indian Mutton Curry, 1 cup,271,20,17,13
Raw Boneless Mutton,Mutton, 100 grams,230,0,14,26
Kolhapuri Mamra,Delight, 100 Grams,355,70,1,4
Chicken Kolhapuri,Waitrose, 350 gram,434,17,21,42
Grill Bbq Mutton Ribs,Mikes Mutton, 100 gg,300,0,28,25
Mutton Pulao,Home Made Mutton Pulao, 1 serving,578,59,22,36
Gur Shakar,Gur Shakar, 100 g,565,25,45,19
Gur,Gur, 20 gram,74,16,1,0
Paratha,Paratha, 1 piece,280,35,14,5
Gur,Amritsari masala gur, 25 g,50,14,0,0
Gur,Jaggery, 1 tbsp,60,14,0,0
Gur,Generic, 15 gm,57,14,0,0
Gur,Mawana gur powder, 100 gms,372,93,1,1
Paratha,Homestyle Paratha, 65 g,225,24,11,2
Paratha,Malasian Paratha, 80 g,265,35,12,5
Masala Gur,Harman Gur, 30 gm,170,8,14,6
Paratha Saag,Paratha Saag, 100 gms,228,33,8,5
Aalo Paratha,Paratha Aalo, 1 Cookeed,214,37,6,5
R-paratha,R-paratha, 1 piece,280,35,14,5
Gur biscuit,Punjabi gur biscuit, 1 cup,65,7,4,1
Masala gur,Deer Masala gur, 25 g,56,14,0,0
Gur Sandesh,Homemade, 1 Pc,112,14,4,4
paratha,methi paratha, 1 roti,350,51,12,9
Gur para,Bikaji, 28 gm,130,18,6,2
Gur Rewri,Hemraj, 200 gms packet,866,161,20,10
Gur Cake,Odlums, 60 g,236,0,0,0
Khasta Kachori,Homemade, 1 Piece,201,21,11,5
Khasta Kachori,Indian, 1 piece,201,21,11,5
Masala Puri,Khasta, 28 grams,90,13,5,2
Gud Khasta Gajak,Jabsons, 10 g (one piece),56,4,4,0
Gur Khasta Gajak,Jacobs, 20 g,100,7,8,2
gur khasta gajjak,bikaji, 28 g,85,8,5,2
pani puri,khasta, 20 gram,70,14,1,2
Khasta Gur Gajjak,Bikano, 30 g,160,17,9,3
Khasta Mix,Bhikhaaram, 1 cup,145,8,10,5
Khasta Mixture,Haldiram, 28 gram,160,8,11,6
Khasta Gazak,Bikaji Sugar Gajjak, 16 g,85,8,5,2
Jaggery Gajjak Khasta,Haldiram's, 100 gram,1840,276,80,24
Gur gajjak khasta,Patanjali, 1 pc,514,50,30,11
Khasta Urid Dal Kachori,Sheila's, 1 pcs,175,37,5,11
Roti,Roti, 4 bakje,122,16,6,2
Veg Snacks,Mini Khasta, 1 portion,517,57,29,6
Khasta Khatie Sweet Biscuits,KCB, 23 gram,80,10,5,1
Tawa Roti,Roti, 10 cm slice,106,22,1,4
Roti,Tandoori Roti, 1 roti,120,20,3,4
Roomali Roti,Roti, 1 roti (large),80,10,1,2
Milkshake,Milkshake, 1 cup,1198,174,51,15
Milkshake,Banana milkshake, 1 cup,112,0,0,0
Milkshake chocolat,Milkshake, 1 boisson,230,14,2,4
Chocolate Milkshake,F'real Milkshake, 16 oz,580,82,23,11
Milkshake Vanille,Milkshake Vanille, 200 ml,180,25,4,11
Milkshake,Homemade Mango Milkshake, 1 glass (450ml),300,35,8,8
Banana Milkshake,Banana Milkshake, 1 Cup,533,0,1,15
Chocolate Milkshake,F'real Milkshake, 16 oz,580,82,23,11
Milkshake,F'real Strawberry Milkshake, 16 fl oz. prepared,540,74,23,13
Milkshake,F'real Strawberry Milkshake, 16 fl oz. prepared,540,74,23,13
Milkshake,Berry Good Milkshake, 1 cup,240,52,2,6
Milkshake,Homemade Chocolate Milkshake, 1 Large (600ml),600,0,0,0
Chocolate Milkshake,Biotrust Milkshake, 2 scoops,150,8,3,24
milkshake,Revels milkshake, 350 ml,250,45,4,9
Milkshake,Large Whataburger Milkshake, 1 Large Cup,1489,256,39,33
milkshake,almarai chocolate milkshake, 100 ml,87,13,2,4
Milkshake,Freal, 1 shake,590,81,25,13
Milkshake,Mcdonald's, 1 cup,390,70,7,9
Milkshake,Slimfast, 250 ml,230,35,3,15
milkshake ,shudda milkshake, 100 ml,73,12,1,4
Protein Shake,Kirkland protein shake, 1 shake,160,5,3,30
Protein Shake,Gladiator protein shake, 2 cups,190,2,0,45
Protein Shake,Unjury  protein shake, 1 scoop,100,4,0,21
Protein Shake,Combat Protein Shake, 34.9 gr,140,5,2,25
Protein Shake,Designer Protein Shake, 1 scoop,100,3,2,18
Protein Shake,ideal shape protein shake, 8 oz,120,11,4,11
Protein Shake,Chris's Protein Shake, 1 scoop,130,2,2,29
Trutein - Protein Shake,Trutein - Protein Shake, 1 scoop,120,5,1,25
Chocolate Protein Shake,Arbonne Protein Shake, 2 scoops,160,15,4,20
Protein Shake,Chike protein shake, 8 oz,190,11,5,28
Protein Shake,Phd shake, 1 scoop,91,3,1,17
Protein Shake,Thrive shake, 1 packet,110,9,2,15
Protein Shake,Advocare vanilla protein shake, 1 package,220,24,3,24
Protein Shake,Orgain Shake, 11 oz,255,32,7,16
Protein Shake,Biotrust Shake, 2 scoops,150,8,3,24
Protein Shake,Core Shake, 1 Scoop,100,7,2,15
Shake,Pure Protein Shake, 1 bottle,120,6,2,23
Protein Shake,Pumpkin Protein Shake, 1 shake,360,31,3,31
Shake,sam's protein shake, 11 fl oz,160,5,3,30
Protein Shake,Gnc shake, 2 scoops,200,17,3,25
Pancake Mix,Pancake, 0.333333 cup,200,40,3,5
Pancake,Nutrisystem Pancake, 1 large,110,25,1,6
"6"" Pancake",Pancake," 6 """,175,22,5,5
Pancake,Apple Pancake, 1 Pancake,108,19,2,4
Pancake,Finnish Pancake, 1 pancake,99,12,4,3
Pancake,Kroger Pancake Mix, 0.333333 cup,140,27,2,3
pancake,pancake parlour, 2 pancakes,270,42,6,10
Pancake,Bisquick Pancake Mix, 40 g,150,28,3,3
pancake,ormo pancake, 35 g,83,15,1,0
Pancake,Pancake 1 Medium, 1 med 4 in,86,11,4,5
Fbbc Protein Pancake,Pancake, 1 pancake,190,3,4,11
Pancake,Krusteas Buttermilk Pancake," 0.333 cup mix (3  4"" pancakes)",180,36,2,4
Vegan Pancake,Vegan Pancake," 4 "" flat pancake",149,22,6,4
Pancake,Krusteaze Buttermilk Pancake, 0.5 cup,180,36,2,4
pancake,pancake, 2 tazza,401,60,6,29
Potato Pancake,Pancake Parlour, 1 medium,59,10,5,2
pancake,Korean pancake, 30 g,110,25,0,2
Pancake,Myprotein, 50 g,191,6,3,34
Pancake,Sunblest, 1 whole,110,18,3,2
Pancake,ormo, 1 pancake,83,15,1,2
Belgian Waffle,waffle waffle, 1 waffle,200,26,9,4
Waffle,Waffle waffle, 1 bowl,530,43,31,17
Strawberry Waffle,Waffle Waffle, 1 waffle,260,37,11,4
Waffle House,Waffle House pecan waffle, 1 One,450,40,29,11
waffle,waffle, 1 cup,184,0,0,0
Waffle - Rp,Waffle, 100 g,310,49,10,7
Chocolate Waffle,Chocolate waffle, 1 waffle,200,31,7,4
Waffle Fries,Waffle fries, 1 cup,400,48,21,5
belgian waffle,waffle waffle, 1 waffle,200,35,6,4
Waffle,Liège Waffle, 1 waffle,300,34,16,4
Churro Waffle,Waffle, 1 waffle,604,70,32,13
Cinnamon roll waffle,Waffle waffle, 1 waffle,240,33,11,3
gourmet beligian waffle,waffle waffle, 1 waffle,210,38,5,3
Birthday cake waffle,Waffle waffle, 1 waffle,260,36,12,3
Pecan Waffle,Waffle House," 7 "" diameter waffle",540,40,29,11
Belgian Waffle,Carol's Waffle, 1 Waffle (40 g),120,4,31,16
Waffle (Corrected),Waffle House, 1 single waffle,410,55,18,8
Belgium Waffle,Liege Waffle, 1 waffle,350,55,11,7
Cinnamon Belgium Waffle,Waffle Waffle, 1 waffle,200,34,5,4
Waffle,Eggo protein waffle, 2 waffles,200,26,7,8
Malva Pudding,Woolworths, 100 g,393,49,20,4
Malva Pudding,Homemade, 100 g,317,46,15,0
Malva Pudding,Kari's, 3 oz. (85g),230,35,9,3
Malva Pudding,Home Made, 1 serving,284,38,13,5
Malva Pudding (Corrected),Woolworths, 100 g,329,46,14,4
Baked Malva Pudding,Homemade, 75 g,135,17,7,1
malva pudding,pnp, 100 gallon,344,42,18,4
Malva  Pudding,Woolworth, 55 gram,181,25,8,2
Malva,Malva, 91 g,319,45,15,3
Malva Pudding 🍮 ,Woolworths, 100 g,328,46,14,4
Malva Braai Pudding,Woolworths, 100 g,403,56,17,6
Caramel,Spar Malva Pudding, 50 g,620,23,5,3
Malva Pudding,Burger King, 1 cup,287,40,9,4
malva pudding,pick n pay, 100 gram,344,42,18,4
caramel Malva braai pudding ,woolworths, 1 bole,1375,24,9,5
Malva Pudding Cake (82839.2),Flik, 1 piece,515,55,32,5
Malva Pudding Cake (82839.0),Flik, 1 piece,515,55,32,5
Malva pudding & custard pot,PnP, 1 pot(120g),289,36,13,6
Malva Pudding,Ola Rich n Creamy, 100 ml,88,13,3,1
Horčica,Malva, 100 gram,100,7,5,6
Nankhatai,Deep, 3 pcs,200,22,12,2
Nankhatai,Surti, 100 g,520,61,30,7
Nankhatai,Pattu, 1 biscuit,78,10,4,0
Nankhatai,Atul, 100 g,511,61,27,7
Nankhatai,Generic Homemade, 1 cookie,120,17,5,2
nankhatai,surati, 2 gm,100,14,4,1
Nankhatai,Lu Bakeri, 14 g,75,9,4,1
Nankhatai,Mr. Puff, 1 pc. (14.5 gm),72,0,4,0
Biscuits ,Bakeri Nankhatai, 14 gms,75,9,4,1
Nankhatai,Mr.puff, 100 gm,521,57,30,6
nankhatai,amul, 100 gram,363,32,24,6
nankhatai,Mr puff, 1 piece,72,8,4,1
Nankhatai,Atul Bakery, 2 piece,205,24,11,3
Kaju nankhatai,Haldiram, 2 cookies,170,18,10,2
Nankhatai,Desi Treatz, 1 unit,12,2,3,1
Pista Nankhatai,Anand, 30 gram,151,19,8,2
Nankhatai,Regal Plus, 1 piece,70,9,3,1
Indian nankhatai,Chintal, 100 gram,496,56,29,5
Nankhatai,Gandhi Bakery, 25 gram,98,4,6,1
Butter Nankhatai,Amul, 100 gram,372,32,24,7
Karimeen,Karimeen, 101 gm,100,2,5,12
Karimeen Pollichath,Shaapp, 1 portion,200,0,0,0
Karimeen Porichathu,Generic, 1 plate,414,0,0,0
Small Fry,Small fry, 2 ounces,230,29,11,3
Fry Sauce,Fry Sauce, 1 oz,90,8,6,0
Culiflower Fry,Culiflower Fry, 1 cup,100,0,10,0
Fry,Mcdonald's, 1 small,380,48,19,4
Stir Fry,Lean Cuisine stir fry, 1 cup,280,38,6,19
Chicken Stir-Fry,Lemon Chicken Stir-Fry, 1 1/2 cup,225,14,6,27
Oven Fry Fish Fry,Kraft, 0.083 packet (12g),45,9,1,1
Arbi Fry (Taro Root Fry),Homemade, 125 g,194,35,5,3
stir fry veg,oriental stir fry, 100 g,27,3,1,2
Stir Fry Vegtables,Jeanette's Stir Fry, 1 cup,60,0,0,0
French Fry Salt - Medium Fry,Whataburger, 1 med order,420,52,21,5
Small Fry,Mcdonald's, 1 cup,230,29,11,3
Small Fry,Hardee's, 121 g,320,45,14,4
Small Fry,Culver's, 1 small,275,38,12,4
Med Fry,Wendy's, 1 pack,410,52,20,5
Med Fry,Mcdonald's, 1 Container,380,48,19,4
Large Fry,Mcdonald's, 0.5 cups,500,63,25,6
Paneer Makhni,Homemade, 100 gms,155,5,15,0
Paneer Makhni,Deep Indian Gourmet, 142 g (5 oz),200,6,17,5
Paneer Makhni (58996.1),Eurest, 6 ounce,568,7,54,20
Paneer Makhni Roll,Swad, 1 roll,420,38,23,10
Makhni Dal,Tufts, 6 oz,108,28,2,7
Dhal Makhni,Sodexo, 95 g,83,15,0,6
Dal Makhni,Homemade, 1 serving,379,56,8,22
Dal Makhni,Haldiram, 150 gm,300,15,25,5
Daal Makhni,Sulz, 1 cup  cooked,350,33,20,11
Dal Makhni,Shafina, 150 grams,200,20,7,7
Paneer,paneer, 28 g,100,0,8,6
Makhni,Ogilvie & Co., 100 mll,57,7,2,1
Cheese Paneer,Paneer, 28 g,100,0,8,6
Dal Makhni,Kitchen Express, 340 g,38,16,4,11
Dal Makhni,Chokhi Dani, 1 cup,429,36,27,9
Dal Makhni (Red Lentils),Homemade, 1 cup cooked,230,40,1,18
Makhni Panner,Ishina, 162 gram,117,17,2,9
Daal Makhni,Ishina, 375 gram,80,13,2,5
Steak Makhni (58999.0),Eurest, 6 ounce,375,0,0,0
Paneer,Malai paneer, 1 cup,366,2,31,21
the Most Accurate One!,Generic Qubani Ka Meetha, 1 cup,100,1,1,50
Khubani Ka Meetha,Hyderabadi, 100 g,200,48,2,3
Double Ka Meetha,Homemade, 153 g,470,107,2,5
the Most Accurate One!,Generic Double Ka Meetha, 1 cup,100,1,1,50
Meetha Paan,Indian, 1 paan,50,0,0,0
Khatta Meetha,Haldirams, 35 g,180,20,9,4
Meetha Paan,Test, 1 paan,100,20,1,0
Meetha Pan,Bombay Meetha Pan, 25 g,80,19,0,1
Ka,Ka, 100 gram,370,0,29,27
Khatta Meetha,Haldiram's, 100 gram,511,57,27,11
Khatta Meetha,Haldiram, 1 cup,180,20,9,4
khata Meetha,Gardens, 60 g,352,0,0,0
Khatta Meetha Namkeen,Bikano, 30 g,180,15,11,3
Meetha Dahi,Gyan, 100 g,67,21,0,4
Khatta Meetha Namkeen,Haldiram, 1 packet,530,57,29,9
Snack,Haldiram's Khatta Meetha, 1 cup,200,14,14,5
Khatta Meetha Chevdo,Haldiram's, 10 g,56,4,4,1
Khatta Meetha Snack,Haldiram, 10 g,53,5,3,1
ka,gemüsesoße, 100 g,45,7,1,1
Khatta Meetha,Mo'pleez, 10 g,53,5,3,1
Chai,Chai, 1 cup,40,2,1,4
Chai Latte,Chai latte, 1 cup,60,10,2,1
Chai,Chico Chai, 0.5 cup,45,12,0,0
Chai Te,Chai Vanilla, 28 servings,120,23,3,0
Chai Tea,Chai tea latte, 1 cup,60,9,3,1
Chai Tea Latte,Oregon Chai, 8 oz Cup,130,27,1,2
Spiced Chai Tea,Mystic Chai, 3 tbsp.,140,25,3,2
Bhakti Chai,Bhakti Chai, 0.5 up chai mix,62,16,0,0
Chai Latte,Drink me chai, 20 g,90,14,3,2
Spiced Chai Latte,Chamba Chai, 8 fl oz,140,25,3,2
Chai,Argo Chai Tea, 8 oz.,90,19,1,2
Chai Latte,Expressi Chai Latte, 1 cup,51,10,1,1
Chai Tea,Chai Bubba Chai, 6 oz,41,8,0,0
Chai,Starbucks, 16 oz,240,47,4,8
Chai,Oregon, 0.5 cup,90,22,0,0
Chai Almonds,Chai Almonds, 11 pieces,220,21,14,4
Chai Latte,Pickwick Chai, 3 teaspoons,68,12,2,0
Chai,Bhakti Chai Latte, 4 fl. oz.,40,11,0,0
Spiced Chai Tea,Mystic Chai, 3 tbsp.,140,25,3,2
Spice Chai Latte,Pacific Chai, 2 tbsp,90,16,2,1
Black coffee,,,1,0,0,0
Coffee,iced coffee, 1 med cup,100,16,3,4
Coffee,Vietnamese Coffee, 1 cup,85,14,2,0
Black Coffee,Coffee, 1 cup,5,0,0,0
Coffee,Lee's Coffee, 6 fl oz,310,46,12,5
Coffee with Creamer,Coffee, 8 oz,35,5,2,0
Skinny Coffee,Skinny Coffee, 1 cup,90,12,3,5
Coffee,Organo coffee, 1 cup,90,17,2,1
Coffee Creamer,coffee creamer, 1 tbsp,35,5,2,0
Iced Coffee,Beaumont Coffee, 1 bottle,200,33,3,6
Coffee,Peet's Coffee, 12 oz (medium),5,0,0,0
Coffee,Upgraded Coffee, 8 oz,10,1,1,1
Coffee,Coffee & Cream, 1 tbsp,50,1,5,0
coffee,Percol Coffee, 1 cup,8,0,0,0
Coffee - 0pp,Coffee, 8 oz cup,0,0,0,0
Coffee,Philz Coffee, 12 oz,320,34,21,3
Bullet Coffee,Coffee, 2 cup,114,0,14,1
Coffee,Ginseng Coffee, 1 cup,80,19,0,1
Coffee,Pete's Coffee, 1 keurig,2,0,0,0
coffee,Coconut Coffee, 2 Tbls.,150,22,7,1
Pudding,Pudding, 100 gram,100,17,2,2
Pudding,Bread pudding, 1 piece,306,47,9,11
Pudding,Rice pudding, 113 grams,120,21,2,4
Tapioca Pudding,Tapioca pudding, 1 cup,100,20,2,1
Yorkshire Pudding,Yorkshire pudding, 1 small,58,7,3,2
Vanilla Pudding,VAnilla pudding, 1 cup,100,20,3,0
Pudding,Hunt's Vanilla Pudding, 1 pudding cup,100,20,3,1
pudding,chocolate pudding, 0.5 cup,150,28,3,4
pudding,Fruit Pudding, 1 cup,93,23,0,0
pudding ,banana pudding, 1 packet,80,5,2,12
Pudding,Christmas  pudding, 125 g,423,66,14,5
pudding,jello pudding, 1 \2 cup,80,8,0,1
Pudding,Cheesecake Pudding, 1 packet,90,5,1,14
Sugar Free Chocolate Pudding,Pudding, 1 pudding cup (92g),60,13,2,0
Pudding,Ideal Protein pudding, 1 cup,100,7,1,18
Vanille Pudding,Vanille Pudding, 150 servings,140,24,3,5
Bakewell Pudding,Bakewell Pudding, 0.5 Pudding,306,1,35,1
Pudding,Kozy Shack Chocolate Pudding, 0.5 cup,140,27,3,4
Pudding,Hunts Vanilla Pudding, 1 pudding cup,100,20,3,0
Pudding,Pudding snack, 1 cup,110,23,2,2
Dunkin Donuts Sugar Packet,Dunkin Donuts, 1 packet,12,3,0,0
Dunkin Donuts Multigrain Bagel,Dunkin Donuts, 1 bagel,350,63,7,15
Dunkin' Dog,Dunkin' Donuts, 1 Wrapped dog,180,18,9,6
Peep Donuts,Dunkin Donuts, 1 Donut,310,39,15,3
Creamer,Dunkin' Donuts, 1 Tbsp,25,3,1,1
Latte,Dunkin' Donuts, 16 oz,120,10,6,6
Dunkin Donuts Vanilla Creamer Singles,Dunkin Donuts:, 1 Creamer,20,3,1,0
Dunkin' Donuts Latte Lite - Small,Dunkin' Donuts, 1 small,80,13,0,7
Dunkachino,Dunkin' Donuts, 24 oz,350,51,16,3
Munchkins,Dunkin' Donuts, 1 munchkin,70,9,4,1
Hashbrowns,Dunkin' Donuts, 9 count,200,22,11,2
Bagel,Dunkin' Donuts, 1 bagel,310,64,1,11
Muffin,Dunkin' Donuts, 1 Muffin,410,75,10,7
Oatmeal,Dunkin' Donuts, 1 cup,300,61,4,7
Dunkin Donuts Spinach Articoke Bagle,Dunkin Donuts, 1 bagel,390,67,6,16
Croissant.,Dunkin Donuts, 1 croissant,340,37,19,6
Hashbrowns,Dunkin Donuts, 9 count,200,22,11,2
Pumpkin,Dunkin' Donuts, 1 Donut,340,39,19,3
Cappuccino,Dunkin' Donuts, 10 oz,80,7,4,4
Munchkins,Dunkin Donuts, 1 Munchkin,50,7,4,1
Chicken Biriyani,Chicken Biriyani, 1 Full,200,57,12,19
Beef Biriyani,Khazana Biriyani, 1 plate,349,48,7,21
Yakhni Pulao,Homemade, 1 Serving,385,18,14,14
Yakhni Pilau,Asda, 100 g,179,31,4,4
Mutton Yakhni,Homemade, 1 Cup,260,29,6,22
Yakhni Pulao,Home Made, 2 cup (400 grams),600,0,0,0
Lamb Yakhni Pulao,Homemade, 303 g,1074,89,58,48
Chicken Biriyani,KYF, 368 g,457,67,13,23
Punjabi Yakhni Pilau,Shan, 2 tbsp,15,2,1,0
Mutton Biriyani,Generic, 300 g,651,81,24,32
Chicken Biriyani ,Generic, 1 cup,396,55,12,25
Lamb Biriyani,12wbt, 1 serve,409,37,11,37
Vegetable Biriyani,Sainsburys, 350 g,397,50,16,10
Vegetable Biriyani,Homemade, 0.75 cup,128,14,7,3
Lamb Biriyani,Indian, 2 cups,417,27,24,24
Chicken Biriyani,Homemade, 0.5 Cup,150,25,3,10
Veg Biriyani,Swad, 100 g,169,29,4,4
Vegetable Biriyani,Shana, 150 g (1 package),250,55,9,8
Chicken Biriyani,Tesco, 500 g,730,92,25,35
Cauliflower Biriyani,Indian, 2 cups,384,60,12,9
Bhujia,Bhujia, 100 gm,600,39,44,12
Bhujia,Bhujia sev, 50 g,290,18,22,6
aloo bhujia,aloo bhujia, 27 grams,156,11,12,2
bhujia,bikaneri bhujia, 101 gm,596,38,44,13
Bhujia,Bikaji, 1 oz,160,10,11,4
Bhujia,Homemade, 1 oz,159,0,0,0
Bhujia,Nanaji, 10 gram,59,3,4,2
Bhujia,Haldiram, 100 g,576,38,40,16
Bhujia,Kohinoor plain bhujia, 100 gram,544,43,33,18
plain Bhujia ,Haldirams bhujia, 100 gram,572,42,39,13
Indori Bhujia,Mirch Masala Indori Bhujia, 1 oz,160,9,12,4
Bikaneri Bhujia,Bikano, 30 g (1.057 appx.),180,11,13,4
Bhujia,Haldiram's, 100 gram,576,38,40,16
Aloo Bhujia,Haldirams, 1 cup (35 g),230,14,18,2
Plain Bhujia,Haldiram, 10 g,56,3,4,2
Bhujia Sev,Haldirams, 40 g,228,15,17,5
Plain Bhujia,Haldiram's, 30 grams,170,9,12,6
Bhujia Masala,Haldiram's, 30 g,170,9,12,6
Aloo Bhujia,Bikano, 30 grams,187,12,14,3
bhujia,Masti Oye bikaneri bhujia, 101 gm,597,35,44,15
Bikaner bhaakarbadi,Bikaner, 1 piece,100,12,5,2
Bikaner Namkeen Vala,Bikaner, 1 servings,727,59,44,9
Kachodi,Bikaner, 1 SMALL,150,0,0,0
Badana Bhujia,Bikaner, 28 grams,120,15,6,2
Ras Malai,Bikaner, 50 g,110,24,1,1
Besan,Bikaner, 30 g,140,16,7,2
bikaner,laddo, 1 unit,195,18,13,2
MininRasgulla,Bikaner, 27 gms,75,16,0,2
Buns,Bikaner, 1 Bun,110,21,1,3
Bikaner,Bhakharwadi, 1 gram,140,14,8,2
Badana,Bikaner Sweet, 28 g,120,15,6,2
Besan Burfi,Bikaner, 30 gram,140,16,7,2
Namkeen,Bikaner, 30 gram,160,10,11,5
Papad,Bikaner Special, 1 portion,316,0,2,21
Mixture,Bikaner Bhujia, 27 g,160,10,10,4
Punjabi Mathi,Bikaner Sweets, 1 Mathi,108,9,8,3
Bikaner Special Papad,Ganesh, 1 papad (17 g),26,0,0,2
Masala Papad,Bikaner, 1 piece,30,5,0,2
aloo bhujia,Haldiram's bikaner, 1 cup,577,40,43,8
bakery cookies ,bikaner, 100 gram,491,63,23,7
Pesto Spread,Panera Bread, 1 tbsp.,40,0,4,0
Bread Spread,Olive Grove, 10 gr.,62,1,7,1
Bread & Spread,ESS GOV, 39 g,111,13,6,2
Bread Spread,Amul Lite, 100 g,634,1,70,0
Bread and Spread,KYF, 35 g,82,16,1,3
bread spread,nutella, 1 cup,81,9,5,1
Bread Spread - Pesto,Mccormick, 15 g,55,2,6,0
Bread with spread,ESS, 67 g,179,25,7,5
garlic bread,garlic spread, 1 tbsp,80,0,0,0
Bread Spread,SaveMor, 20 g,90,0,10,0
Bread spread,Green olives spread, 100 g,172,1,17,1
Ole Bread Spread 25% Fat Spread,Epic, 20 g,45,0,5,0
Garlic Spread Pita Bread,Pam's, 88 g (1 pita),267,38,10,7
Chipotle Mayo Spread,Panera Bread, 2.5 ounces,90,1,9,0
Bread spread,Checkers, 20 mg,66,0,8,0
bread spread,Amul, 100 gm,584,0,65,0
